,_id,month,town,flat_type,block,street_name,storey_range,floor_area_sqm,flat_model,lease_commence_date,resale_price,remaining_lease
0,6339c62618d5e7121da43efd,2022-07,TAMPINES,3 ROOM,206,TAMPINES ST 21,01 TO 03,75.0,MODEL A,1982,380000.0,59 years 02 months
1,6339c62618d5e7121da43f05,2022-07,TAMPINES,3 ROOM,226,TAMPINES ST 23,04 TO 06,73.0,MODEL A,1985,385000.0,61 years 08 months
2,6339c62618d5e7121da43f07,2022-07,TAMPINES,3 ROOM,421,TAMPINES ST 41,10 TO 12,74.0,MODEL A,1985,385000.0,62 years
3,6339c62618d5e7121da43f08,2022-07,TAMPINES,3 ROOM,422,TAMPINES ST 41,01 TO 03,64.0,SIMPLIFIED,1985,335000.0,62 years 03 months
4,6339c62618d5e7121da43f09,2022-07,TAMPINES,3 ROOM,411,TAMPINES ST 41,07 TO 09,69.0,IMPROVED,1985,370000.0,62 years 03 months
5,6339c62618d5e7121da43f0a,2022-07,TAMPINES,3 ROOM,408,TAMPINES ST 41,04 TO 06,69.0,IMPROVED,1985,380000.0,62 years
6,6339c62618d5e7121da43f10,2022-07,TAMPINES,3 ROOM,829,TAMPINES ST 81,04 TO 06,67.0,NEW GENERATION,1986,435000.0,63 years 03 months
7,6339c62618d5e7121da43f15,2022-07,TAMPINES,4 ROOM,133,SIMEI ST 1,07 TO 09,84.0,SIMPLIFIED,1988,470000.0,65 years 02 months
8,6339c62618d5e7121da43f16,2022-07,TAMPINES,4 ROOM,149,SIMEI ST 1,07 TO 09,84.0,SIMPLIFIED,1988,480000.0,64 years 09 months
9,6339c62618d5e7121da43f17,2022-07,TAMPINES,4 ROOM,110,SIMEI ST 1,04 TO 06,104.0,MODEL A,1988,502000.0,65 years
10,6339c62618d5e7121da43f1b,2022-07,TAMPINES,4 ROOM,222,SIMEI ST 4,07 TO 09,104.0,MODEL A,1988,540000.0,64 years 11 months
11,6339c62618d5e7121da43f2c,2022-07,TAMPINES,4 ROOM,272,TAMPINES ST 22,01 TO 03,103.0,MODEL A,1984,480000.0,61 years 01 month
12,6339c62618d5e7121da43f30,2022-07,TAMPINES,4 ROOM,346,TAMPINES ST 33,04 TO 06,109.0,MODEL A,1996,490000.0,73 years
13,6339c62618d5e7121da43f38,2022-07,TAMPINES,4 ROOM,462,TAMPINES ST 44,10 TO 12,89.0,SIMPLIFIED,1987,505000.0,64 years 01 month
14,6339c62618d5e7121da43f39,2022-07,TAMPINES,4 ROOM,498B,TAMPINES ST 45,01 TO 03,106.0,PREMIUM APARTMENT,1997,515000.0,74 years 01 month
15,6339c62618d5e7121da43f41,2022-07,TAMPINES,4 ROOM,897,TAMPINES ST 81,07 TO 09,104.0,MODEL A,1988,608000.0,65 years 03 months
16,6339c62618d5e7121da43f42,2022-07,TAMPINES,4 ROOM,897A,TAMPINES ST 81,10 TO 12,103.0,MODEL A,1988,500000.0,65 years 01 month
17,6339c62618d5e7121da43f47,2022-07,TAMPINES,4 ROOM,838,TAMPINES ST 82,04 TO 06,105.0,MODEL A,1985,530000.0,62 years 01 month
18,6339c62618d5e7121da43f49,2022-07,TAMPINES,4 ROOM,885,TAMPINES ST 83,04 TO 06,103.0,MODEL A,1987,520000.0,64 years 05 months
19,6339c62618d5e7121da43f4e,2022-07,TAMPINES,4 ROOM,924,TAMPINES ST 91,04 TO 06,104.0,MODEL A,1983,528000.0,60 years 05 months
20,6339c62618d5e7121da43f51,2022-07,TAMPINES,5 ROOM,167A,SIMEI LANE,07 TO 09,111.0,DBSS,2011,890000.0,87 years 08 months
21,6339c62618d5e7121da43f56,2022-07,TAMPINES,5 ROOM,945,TAMPINES AVE 4,07 TO 09,122.0,IMPROVED,1988,682000.0,65 years 01 month
22,6339c62618d5e7121da43f68,2022-07,TAMPINES,5 ROOM,842F,TAMPINES ST 82,10 TO 12,129.0,IMPROVED,1995,810100.0,72 years 02 months
23,6339c62618d5e7121da43f69,2022-07,TAMPINES,5 ROOM,842C,TAMPINES ST 82,13 TO 15,131.0,MODEL A,1995,768000.0,71 years 07 months
24,6339c62618d5e7121da43f6b,2022-07,TAMPINES,5 ROOM,870,TAMPINES ST 83,10 TO 12,121.0,IMPROVED,1989,629888.0,66 years
25,6339c62618d5e7121da43f6d,2022-07,TAMPINES,EXECUTIVE,942,TAMPINES AVE 5,10 TO 12,154.0,MAISONETTE,1988,950000.0,65 years 04 months
